Urdu	Roman-Urdu	Ur—Rom Confidence Score	English	Ur-En Confidence Score
پتے	pattay	0.67	pictures	1.0
ٹوٹتی	ti	0.5	resonating	0.6
ے	ye	0.5	whipping	0.8
آہستہ	ahista	0.67	gradually	0.71
فيس	face	0.5	face	1.0
ملوث	mulawis	0.57	implicated	0.69
۱۲۲	122	0.33	122	0.461
ياونگ	young	0.4	young	1.0
بستی	bus	0.67	slum	0.5
پیپر	paper	0.4	clamshell	0.54
ہٹ	hat	0.67	rip	0.49
دھمکیاں	yardhamkian	0.64	retaliations	0.74
حنک	thank	0.6	thank	1.0
منگل	mangal	0.67	jandol	0.5
پؤئٹری	poetry	0.33	poetry	0.784
بزرگ	buzarg	0.67	mendicant	0.57
گر	gir	0.67	falling	0.62
ٹوف	tough	0.6	tough	1.0
بالکل	blkul	0.6	completely	0.69
وصال	wisaal	0.67	mourned	0.57
محفل	mehfil	0.67	fireside	0.55
پرفامنس	performance	0.36	performance	0.298
انفارمیشن	infomation	0.4	technology	0.67
يناؤ	enough	0.5	enough	1.0
غائب	gaib	0.5	vanished	0.71
مکر	mukar	0.6	promised	1.0
کناروں	kinare	0.67	edges	0.67
غصے	gusa	0.5	swooned	0.67
جملہ	jumla	0.6	preambles	0.53
بد	badal	0.67	carelessness	0.61
سئون	seven	0.4	seven	0.985
پل	pal	0.67	bridge	0.63
تسلی	tasalli	0.57	satisfied	0.68
اعظم	azam	0.5	prime	0.57
خستہ	khasta	0.67	dilapidated	0.6
ادہ	ado	0.67	ado	1.0
منہ	moun	0.5	mouthful	0.58
کیدو	frndskidunya	0.44	adviser	0.674
اسپيس	space	0.4	space	1.0
زرارت	ziarat	0.5	ziarat	1.0
ویز	nywayx	0.33	airways	0.62
نقل	naqal	0.6	transport	0.53
علی(رض	ra	0.5	ra	0.333
کلام	kalaam	0.67	utterances	0.65
وائف	wife	0.5	wife	1.0
حينجر	hunger	0.5	hunger	1.0
سلان	salman	0.67	salman	0.752
راج	loveurajj	0.38	raj	1.0
ہوئے	huy	0.67	to	0.66
مسلسل	musalsal	0.62	continuously	0.65
فرشتوں	thafarishton	0.58	earthly	0.64
حملہ	hamla	0.6	raid	0.78
مسلّز	muscles	0.43	muscles	1.0
صحابہ	sahaba	0.67	predestinarians	0.64
فنی	funny	0.6	cinematic	0.62
نہ	na	0.5	not	0.77
نشہ	nasha	0.6	overeaten	0.57
تھکن	thakan	0.67	fatigued	0.68
ايک	aik	0.33	pachaiyappan	0.75
٢٣	atif23	0.33	preced	0.56
وسط	twist2q	0.6	middle	0.778
تر	tara	0.67	mostly	0.72
حضرت	hazrat	0.67	anointed	0.68
هایپر	hyper	0.4	hyper	0.263
بچہ	bacha	0.6	child	0.72
مٹی	mitti	0.6	crumbly	0.6
حکيم	hakeem	0.67	hakeem	0.213
فاصلہ	faasla	0.67	equidistant	0.69
فتح	fatah	0.6	conquest	0.82
نیچر	neture	0.33	industy	0.58
ڈيٹ	date	0.5	date	1.0
مپرؤو	improve	0.57	improve	0.195
سپیس	space	0.6	etrn	0.57
سمن	saman1	0.6	lamma	0.43
ابھی	abi	0.67	there	0.62
بکھر	bikhar	0.67	scattered	0.62
بن	ban	0.67	prophet	0.68
لیک	loverzlyke	0.33	climbing	0.38
سکندر	sikandar	0.62	nerely	0.49
فرح	farah	0.6	merlissimo	0.46
ہر	har	0.67	every	1.0
اررانجمنٹ	arrangement	0.45	arrangement	1.0
نکلتے	nikalty	0.57	absorb	0.64
ٹاؤ	tough	0.4	tough	1.0
رہنے	rehny	0.6	staying	0.69
پروگرام	prng	0.5	program	1.0
قسمآی	kasam	0.6	kasam	0.221
شغل	shugal	0.67	occasional	0.56
صب	sub	0.67	sub	0.521
یاب	kamyam	0.33	fortunate	0.51
سأو	save	0.5	save	1.0
تحفہ	tohfa	0.6	gift	0.6
آوارہ	awaraboyz	0.44	haunts	0.54
اسوقت	he	0.5	mutally	0.59
ہمّت	himmat	0.33	again.”	1.0
فیئر	fear	0.5	tour	0.54
باےکرنے	bye	0.67	bye	1.0
پرائویٹ	private	0.43	kplus	0.56
تیاریاں	tayarun	0.57	preparations	1.0
چھٹی	chutti	0.33	sixth	0.89
کلر	kiler	0.6	dcdi	0.43
فل	ful	0.67	alums	0.51
گيم	game	0.5	game	1.0
یوراج	loveurajj	0.62	highness	1.0
کنٹرول	cntr0l	0.67	control	0.76
نائب	naib	0.5	vice	0.75
سرنگ	sarang	0.67	tunnel	0.414
یکسر	yaksar	0.67	undesirable	0.65
فاینڈ	find	0.5	find	1.0
وجہ	waja	0.5	due	1.0
تیگ	tag	0.33	tag	0.637
ڈرایئور	driver	0.67	driver	1.0
سمجھتے	samjtay	0.43	consider	0.74
موباءل	mobile	0.67	mobile	0.735
مائ	my	0.5	my	1.0
نمبرز	number	0.67	telsim	0.46
کل	kal	0.67	counted	0.59
۴۰	40	0.5	40	1.0
بلند	buland	0.67	lofty	0.56
ٹیک	take	0.5	suped	0.47
ٹراوسيرس	trousers	0.38	trousers	1.0
منکر	munkir	0.67	infidel	1.0
نقوی	nqvi	0.5	nazia	0.51
حق	huq	0.67	irrevocable	0.62
گريس	grace	0.6	grace	1.0
دیجئے	dijiye	0.5	choose	0.62
چھین	cheen	0.4	reclaim	0.64
اینڈ	and	0.33	esci	0.49
بڑے	bary	0.5	small	0.61
رپلاءی	reply	0.6	reply	0.67
گلہ	gila	0.5	sheepmeat	0.55
جوکز	jokes	0.6	jokes	1.0
ٹيگ	tag	0.33	tag	0.637
حد	had	0.67	extent	0.64
نيم	name	0.5	folk	0.552
مسیج	msg	0.67	msg	0.157
بندر	bandar	0.67	tombol	0.47
انوائٹ	invite	0.33	invite	0.923
مکوڑے	makory	0.67	excrementitious	0.7
لگ	lag	0.67	hundredfold	0.54
دِل	dil	0.33	mecy	0.228
کرن	kiran	0.6	pal	0.51
جڑ	jarr	0.67	fused	0.58
خشک	khushi	0.67	dry	0.71
رفیق	rafaqatainye	0.33	confidance	0.49
بدن	ba'din	0.5	dulled	0.67
فریبڈ	friend	0.67	friend	1.0
انڈودوال	individual	0.4	individual	0.57
نمبرپر	number	0.67	number	1.0
جاب	jok	0.33	nbut	0.46
چلانا	chalna	0.67	implenting	0.61
ہیکر	shikaryr	0.67	iecee	0.49
بر	bar	0.67	videly	0.44
سٹياشن	situation	0.44	situation	1.0
سنسر	sincere	0.67	pornography	0.414
فجر	fajar	0.6	vespers	0.53
اپک	pak	0.33	pak	0.332
ملکہ	malika1hahaha	0.5	majesty	0.59
سائے	saye	0.5	shadow	0.225
ٹم	timing	0.67	berners-lee	0.362
عینی6	sani	0.5	sani	0.248
حابٹاشن	habitation	0.5	habitation	0.806
پھٹان	pathan	0.33	pathan	0.964
ذریعے	zariyhe	0.43	through	1.0
صائم	saim	0.5	kahm	0.43
دن	din	0.67	day	1.0
گھبرا	kbighbra	0.62	sicked	0.68
انوولو	involve	0.43	involve	0.49
بليم	blame	0.6	blame	1.0
کیف	kismat	0.33	vsya	0.48
