Urdu	Roman Urdu	English	Ur-Rom	Ur-En	
ملوث	mulawis	implicated	5	5	
لیبل	label	rca	5	1	
راب	rab	mustmast	5	1	
عادل	adil	shamur	5	1	
سادگی	saadgimeri	gracefulness	2	4	
الليرنگ	alluring	alluring	5	5	
کہاوت	kahawat	sayings	5	5	
گرانڈ	grand	grand	5	5	
ناک	naak	sored	5	2	
ریکوۓسٹ	request	request	5	5	
تصو	taso	foregrounded	5	1	
مونيي	money	money	5	5	
یوں	yun	precisely	5	4	
سیو	save	save	5	5	
صدیاں	sadayein	establishments	5	2	
کونیکشن	purchase	purchase	1	1	
ڈیڈ	deadmen	driveclub	2	2	
نکالی	nikali	extracted	4	4	
دیاہے	dia	contends	4	5	
ناٹ	nt	powerplays	2	1	
ثوبیہ	sobia	clil	5	1	
براڈکاسٹ	broadcast	broadcast	5	5	
خاموش	khamosh	unheard	5	4	
پشتون	pashtoonpa	pashtun	3	5	
نادان	nadan	foolish	5	5	
رنگوں	rangon	colors	5	5	
1	1	1	5	5	
تباہ	tabah	destroyed	5	5	
کوکک	kick	kick	3	2	
آیڈیا	idea	idea	5	5	
قسمیں	qasmein	kinds	5	5	
گری	giri	barding	5	5	
دورہ	dora	visiting	5	4	
لونگی	loun	seehng	3	1	
ٹکڑے	tukry	encased	5	5	
سمیع	sami	alomg	5	3	
نو	no	nine	5	1	
پنج	panjtani	panj	2	2	
رانجھے	ranjhay	raftaar	5	1	
ٹھیک	thek	checked	5	4	
ملکہ	malika1hahaha	majesty	3	2	
لمحوں	lamhon	darknesses	5	1	
وکيپي	occupy	occupy	1	1	
یہر	year	bimzalazim	2	1	
سوے	soe	schtik	5	1	
چھپا	chupa	hidden	5	5	
جگر	jigar	anaemic	5	1	
دولت	dolat	wealth	5	5	
چوڑیاں	chore	hootches	2	1	
گھومنے	guhmne	community's	5	1	
خیر	khair	mity	5	1	
کیو	q	acd	1	1	
هونے	hone	calate	5	1	
چوما	chuma	oops	5	1	
گاڑی	gari	vehicle	5	5	
ساس	saas	daughter	5	1	
مٹا	mita	reasses	5	2	
دہشت	dehshat	terrorist	5	4	
اہل	all	believers	1	2	
هال	hal	hal	5	1	
طالبان	taliban	taliban	5	5	
یاسمین	yesmanhi	jasmine	2	5	
سلیک	lvrslyk	sleek	1	5	
پوانٹ	point	point	5	5	
سینے	sene	gugging	5	1	
بدنصیب	badnasib	unbend	5	1	
انڈا	anda	pouchless	5	1	
لوٹو	loto	rob	5	5	
زنگو	zingoo	zingoo	5	5	
چڑھ	charh	fallen	5	1	
وا	wa	fo	5	1	
عارضی	aarzi	temporary	5	5	
اقرار	iqraar	questioning	5	1	
صرف	sirf	only	5	5	
فرئینڈز	friends	friends	5	5	
مونا	muna	mona	5	5	
کھولا	nikleq	opened	1	5	
آہن	aahn	fascine	5	4	
رکھنے	rakhy	keeping	5	5	
بیکار	bekar	unharmful	5	2	
یوح	yon	yon	3	1	
مجہمیں	me	me	2	4	
ڈريس	dress	dress	5	5	
ذریعے	zariyhe	through	5	5	
بھاگ	bhag	fled	5	5	
چاغی	chaghi1islamabd	paktika	2	1	
