Urdu	Roman-Urdu	Ur—Rom Confidence Score	English	Ur-En Confidence Score
لاڑکانا	larkana	1	larkana	1
ٹيرن	turn	1	turn	1
جوﻻٔي	july	0.75	july	0.935
انفو	info	1	espnhs	0.52
چیکو	chekoo5	1	mek	0.5
ون	one	1	dwkx	0.47
پڑے	pare	0.75	king's	0.338
پول	pol	1	korv	0.38
نونی	none	1	none	1
کرتی	krti	1	continues	0.64
کیجیے	kejye	1	hopefully	0.74
روپا	roopa	1	phootprint	0.5
الليرنگ	alluring	0.88	alluring	0.158
قبض	qbz	1	zombification	0.61
مررید	married	0.86	married	0.568
سادگی	saadgimeri	0.83	gracefulness	0.74
بھنگ	bhang	0.8	bhang	0.68
میں	main	1	in	1
١٠٠٠	1000	1	1000	0.232
نھیں	nahi	0.75	occaisionally	0.62
لاسٹنگ	lasting	0.86	lasting	1
فلوير	flower	0.83	flower	0.727
جیب	jaib	1	bisquare	0.5
شکست	shikast	0.71	defeated	0.73
نگری	nagri	0.8	alakha	0.52
سہیل	sohail	0.83	aqib	0.49
ریبل	rebel	0.8	yellowbox	0.5
مطالعہ	mutala	0.83	study	0.69
رنجش	ranjish	0.71	thught	0.61
جیتنے	jety	0.75	win	0.83
گوریلا	goreela786ali	1	ultranaut	0.55
باہر	bahir	0.8	outside	1
پيوپل	people	1	people	1
پکایا	pakaya	0.83	cooked	1
بھٹکنے	bhataknay	0.78	hearting	0.62
اٹھیں	uthen	1	blown	0.63
بوجھ	bojh	1	overweighted	0.62
سانی	sani	1	mash	1
سیا	saya	0.75	dark	0.38
اصول	asool	1	principles	1
مہتاب	mhtab	1	differeth	0.919
ٹھنڈا	thanda	0.83	chilled	0.65
لگنا	lagna	0.8	damagecollapse	0.45
لڑنے	lrny	0.75	fighting	0.62
کتابوں	kitabon	0.86	books	1
دریا	darya	0.8	headstreams	0.57
جيسٹس	justice	0.83	justice	1
مارتے	marty	0.8	kill	0.62
کمانڈ	command	0.71	command	0.73
رکھتی	rakhti	0.83	retains	0.66
اکیلے	akele	1	possesing	0.51
اگر	agr	1	if	1
رابی	rabi	1	rabi	0.621
یر	yr	1	now	1
دتا	dita	0.75	filmyug	0.59
ریجیکٹ	reject	1	reject	0.497
چاغی	chaghi1islamabd	1	paktika	0.55
ه	hyye	1	prever	0.51
تیز	taiz	1	slow	0.71
لوہے	lohe	1	iron	0.66
امجد	amjid	0.8	lute	0.44
رکهتے	rakhte	0.83	embrace	0.61
رانجھے	ranjhay	1	raftaar	0.57
بیٹری	bettary	0.71	braking	0.69
ٹوڈے	today	1	newsfirst	0.6
سری	sari	0.75	sri	1
مسالا	masala	0.83	coconuts	0.56
تنہا	tanha	0.8	perpetually	0.55
سانڈے	sunday	1	sunday	0.283
عالم	aalam	0.8	unarian	0.52
الینا	alin8	0.8	elena's	1
ہاته	hath	1	engag	0.51
حضرات	hzrat	1	men's	0.571
بابا	baba	1	yogi	0.5
طنز	tanz	0.75	sarcasm	0.73
پيٹرول	petrol	1	petrol	1
وابسطہ	wabasta	0.71	affilitated	0.61
سادے	side	1	modestly	1
کاغذ	kaghaz	0.83	paperboard	0.66
لمحوں	lamhon	0.83	darknesses	0.61
مورگن	morgunmeri	0.83	morgan's	1
تصو	taso	0.75	foregrounded	0.65
ابسنس	absence	0.83	absence	1
۱	1	1	1	0.593
بھر	bhar	0.75	throughout	0.62
نیکی	neki	1	goodness	0.66
یاران	yaraan	0.83	isti	0.52
دلاتا	dlata	1	jeopardizes	0.64
سردار	srdar	1	warlord	0.6
پکڑنے	pkrnay	1	catching	0.69
بیچارے	bichare	1	hoarded	0.64
پاگلوں	paglon	1	ooos	0.58
لینا	lena	1	taking	0.59
انڈر	undrwere	1	vnrl	0.49
رومںٹک	romantic	0.75	romantic	1
ڈانٹ	dant	1	hitlist	0.56
یزید	yazeed	0.83	yazid	0.83
وپپريسون	oppression	0.8	oppression	1
کپڑوں	kapro	0.8	clothes	0.72
هال	hal	1	hal	1
آصف	asif	0.75	datary	0.47
ٹیم	team	0.75	bengals	0.77
دورانی	duarani	0.86	timing	0.57
سمجھو	smjho	1	pretend	0.69
دوبارہ	dobara	0.83	again	1
چیزوں	chezon	1	objects	0.64
کہو	kaho	0.75	say	0.77
مسکرا	muskra	0.83	smiled	0.64
حیا	haya	0.75	loving	0.58
گلوبل	global	0.83	nrce	0.54
ریما	rema	1	rima	1
بیٹھو	betho	1	unclenched	0.66
مریض	mareez	0.83	patient	0.76
کھاتے	khaty	0.8	eat	0.63
کتا	kuta	0.75	eats	0.61
میمن	memon	0.8	mujeed	0.56
بیٹه	baith	1	baith	0.544
تو	to	1	so	0.8
توڑنا	torna	1	eliminating	0.62
مغرور	maghrur	0.86	overawed	0.68
ہوگئی	hogi	0.75	anxious	0.63
باهر	bahar	0.8	bahar	0.232
بچپن	bachpan	0.71	childhood	0.74
ٹھنڈی	thandi	0.83	cold	0.7
بجتی	bajti	0.8	creaking	0.59
خوا	khwa	1	sad	0.47
کوالٹي	quality	0.86	quality	0.27
انسورريکٹ	incorrect	1	incorrect	1
برتن	brtan	0.8	earthenware	0.73
مسکت	mscit	0.8	unenlightening	0.65
