Urdu	Roman-Urdu	Ur—Rom Confidence Score	English	Ur-En Confidence Score
ویدر	weather	0.29	weather	1.0
پیئیں	payenge	0.29	drink	0.877
کنورٹ	convert	0.29	convertible	1.0
مستقبل	hmry	0.25	future	1.0
اِنٹرو	intro	0.2	intro	0.625
جلے	diljaly	0.29	discked	0.54
سائیٹ	website	0.29	online	0.56
کونسی	k0nsi	0.2	place	1.0
ایپس	apps	0.25	apps	1.0
تجربات	zaat	0.25	experiments	0.75
اترنے	usaysagar	0.11	there's	0.744
ایکسپریس	express	0.29	express	1.0
پِنجرا	pinjra	0.17	pinjra	1.0
ٹیگس	tags	0.25	notevenwiththepetalofarose	1.0
تعلیم	education	0.22	education	1.0
عروہ	urooa	0.2	prophet	0.73
ایران	iran	0.25	italy	0.74
بھیجو	bejo	0.25	send	0.76
کوکک	kick	0.25	kick	1.0
يٹٹربيٹي	attribute	0.22	attribute	0.241
حویلی	havali	0.17	mansion	0.57
یہر	year	0.25	bimzalazim	0.59
راوی	ravidear	0.25	sutrah	0.49
پرو	private	0.29	peru's	0.234
سنبھل	sambhal	0.14	unpurged	0.47
مینوئل	manual	0.17	energinstal	0.51
پائیدار	paidaar	0.29	durable	0.63
زر	shahzaar	0.25	depreciation	0.68
ار	vania	0.2	dkdp	0.49
اوڑھ	oarh	0.25	unshaved	0.68
عنقریب	unqareeb	0.12	upcoming	1.0
کھیلا	karte!hum	0.22	tied	0.61
نسب	amenmrfn	0.12	origin	0.57
نعمت	4ndz	0.25	bounteous	0.6
سٔٹ	sight	0.2	sight	1.0
نسخے	jisnay	0.17	copy	0.69
رنگت	zarad	0.2	coloration	0.73
فالو	follow	0.17	hundred	0.6
انویسٹیگیشن	investigation	0.23	investigation	0.667
جج	judge	0.2	judge	1.0
کیک	snkk	0.25	japgokbap	0.57
فٔٹ	fight	0.2	fight	1.0
عوض	ewiz	0.25	dinars	0.6
سيٹيرڈے	saturday	0.25	saturday	1.0
اگ	8swal	0.2	moldy	0.51
وائیرس	virus	0.2	virus	1.0
ديست	dost	0.25	dost	0.481
انیبوڈی	with	0.25	with	1.0
چھپاتا	chupata	0.29	import	1.0
بیک	back	0.25	monoclass	0.45
انگیز	magar	0.2	prescient	0.6
ائیر	year	0.25	turboprops	0.61
ميچ	match	0.2	match	1.0
لیبر	labour	0.17	capitalistas	0.57
ہلکا	khuram	0.17	lighter	0.63
لینڈ	4ndshpland	0.1	australia	0.62
رضوی	allrizvi	0.25	prima	0.39
رنڈی	kory	0.25	whore	0.339
ٹٔم	time	0.25	time	1.0
جیز	jazz	0.25	tifs	0.46
بزنس	busines	0.14	amc	0.56
عدل	gudaljesani	0.09	inviolable	0.62
منزلیں	jism	0.25	supertall	0.51
توجہ	cncrtrate	0.11	attention	0.62
وون	von3	0.25	hih	0.42
يٹٹراسٹٔو	attractive	0.1	attractive	0.842
لیکچر	lacture	0.29	lecture	0.66
یوکی	lucky	0.2	kochk	0.5
جاورنيي	journey	0.29	journey	1.0
انکالاب	bhai	0.25	bhai	0.23
ایڈوانس	advance	0.29	titech	0.62
تفصیل	detail	0.17	detailed	0.69
ادارے	daira	0.2	agencies	0.68
يونيورسٹي	university	0.1	university	1.0
بیلنس	balance	0.29	kommuninvest	0.48
فرئینڈز	friends	0.29	friends	1.0
یحییٰ	hainprince98bhai	0.31	gamel	0.42
جلتا	dhagabolajalta	0.29	similar	0.68
اکامپل	example	0.14	example	1.0
زُبیر	zubair	0.17	zubair	0.504
وعدوں	vaadon	0.17	compromisers	0.65
آئینے	aienay	0.17	prettifying	0.59
گرام	gaya	0.25	kilograms	0.77
اپشن	option	0.17	option	1.0
اینجلس	angelzz	0.29	org	0.52
انجیرننگ	engineering	0.18	engineering	1.0
ٹاورسٹ	tourist	0.29	tourist	1.0
رس	letilarke	0.11	administer	1.0
ایڈمشن	admission	0.22	admission	0.44
راولپنڈی	rwp+isb	0.29	3,416	1.0
نؤومبير	november	0.25	november	0.889
پھیلائی	pelai	0.2	1900	0.373
بندی	bhaio	0.2	reclassifying	0.52
کرینگے	karangyplz	0.3	gundamsrus	0.46
پوزیشن	position	0.25	points	0.54
کرپشن	khatme	0.17	pcdppp	0.57
اسسسلم	slam	0.25	slam	0.333
عظم	uzma	0.25	enthronment	0.49
آیڈیا	idea	0.25	idea	1.0
محترم	warahmatullahmuhtram	0.25	notedly	0.58
رخان	rehna	0.2	rehna	0.409
عظمہ	uzma	0.25	ministry	0.663
صوبہ	salme	0.2	province	0.67
چھٹیاں	chutiyan	0.25	id-ul-fitr	0.542
گِو	give	0.25	give	1.0
ٹاورنامنٹ	tournament	0.2	tournament	1.0
اومان	romaan	0.17	bubiyan	0.6
کھولا	nikleq	0.17	opened	1.0
سوچے	s0chay	0.17	overthink	0.62
عبرت	bara	0.25	artitude	0.55
آئینی	aini	0.25	constitutional	1.0
رہوں	bikhar	0.17	both	0.59
پنشوں	pension	0.29	pension	0.885
سائیں	bolasaien	0.22	alook	0.51
پہنچے	punhchy	0.29	we'd	0.248
ہورہی	rahi	0.25	there's	0.732
اویس	owaisshah89	0.09	copyright	1.0
ہزاروں	mashghalay	0.1	thousands	0.75
اِگزیمز	exam	0.25	exam	1.0
مارننگ	morning	0.29	bowl	1.0
ایڈورڈ	edwward	0.14	fa	0.48
اپسے	thanks	0.17	thanks	1.0
اکیس	amxamix	0.14	21	1.0
رین	never	0.2	racers	0.47
کانیرو	kong	0.25	kong	0.823
ڈاون	down	0.25	shows	1.0
پاکٹ	tounkopocket	0.17	envr	0.55
امتحاں	start	0.2	flunked	0.58
وِد	with	0.25	with	1.0
کھڑے	keerry	0.17	stand	0.6
پین	0000fun(ghazal)pen	0.17	41/007/2003	1.0
اسپيک	speak	0.2	speak	1.0
آئندہ	ainda	0.2	conclusion	0.63
سافٹوئر	software	0.25	software	1.0
ٹارچ	torch	0.2	megaflare	0.49
کونیکشن	purchase	0.12	purchase	1.0
عشا	esha	0.25	afterfeast	0.58
سیلف	introduc	0.12	smga	0.5
وزن	uska	0.25	weight	0.7
حماد	bhulo(bekan	0.09	aruf	0.56
فرشتہ	1farista	0.25	worshipper	0.62
گاہے	diamondguyisay	0.14	hangouts	0.5
ہاٹ	hottttmra	0.22	kawasaki	0.57
ایمرجنسی	cardiac	0.29	emergency	1.0
لیول	ailmranx	0.12	liyol	0.435
بلاگ	chemistryblog	0.15	blog	1.0
ایگزام	exam	0.25	exam	1.0
رینک	rank	0.25	mosp	0.48
آہ	gaiaaaa	0.14	destruction	0.617
ایٹرکشین	attraction	0.2	attraction	0.318
سبی	dostn	0.2	pti	0.52
بولتا	b0lta	0.2	speaks	0.63
سِٹی	city	0.25	city	1.0
اينبيٹي	anxiety	0.29	anxiety	0.284
عزل	tips	0.25	wheelation	0.64
سَم	some	0.25	some	1.0
ایٹ	other	0.2	8	0.501
تحفے	gift	0.25	gifts	0.6
عظمیٰ	uzma	0.25	exchequer	0.54
گڑھ	gadha	0.2	prabhudass	0.61
سروس	service	0.29	service	0.68
ایے	absar	0.2	formal	0.373
مہمند	ajmalmmd	0.12	may-2	0.401
تعارف	intro	0.2	introduction	0.57
عون	sar0n	0.2	auwn	0.328
ؤور	over	0.25	over	1.0
اہنے	apne	0.25	scene	0.569
انر	owner	0.2	inner	0.414
عبداللہ	hadis	0.2	imam	0.72
نچوڑ	loonphir	0.12	turnings	0.56
چھوڑیں	chorain	0.29	propses	0.54
ڈھونڈتا	kodunta	0.14	vanishes	0.64
عثمان	usman	0.2	bedreddin	0.58
اتارے	otaray	0.17	tassles	0.6
کامرس	c0merce	0.29	rcgc	0.6
ٹاون	town	0.25	town	0.42
مشن	mohsin	0.17	mission	1.0
اخیر	akeer	0.2	last	0.804
کتابیں	books	0.2	books	1.0
قانون	mutabik	0.14	laws	0.79
مہرہ	qaimchatmyra	0.25	cartouch	0.54
کچہری	karn	0.25	chowkidars	0.6
شہری	gisherilandchopaal	0.17	urban	0.49
اصلی	real	0.25	original	0.5
یوٹوپیا	utopia	0.17	khotol	0.5
سائنس	science	0.29	science	0.74
حول	hall	0.25	hall	1.0
الیہ	ap(s	0.25	arsaato	0.187
یگزیمز	result	0.17	result	1.0
شش	sssshhh	0.29	marry	1.0
سعودیہ	afghanistan	0.18	9/11	1.0
بیگ	(lishbag	0.1	xhind	0.41
چھڑانے	chernay	0.29	fending	0.68
گینگ	gang	0.25	ku	0.5
الہ	chaheay	0.14	punah	0.51
ئوريوني	everyone	0.12	everyone	1.0
عمر	umar	0.25	age	0.72
کالج	college	0.29	college	0.76
ریزرو	reserve	0.29	overdraft	0.62
آکشن	section	0.14	section	1.0
دہلی	dali	0.25	delhi	1.0
ڈی	dmps	0.25	d	0.51
هُورّر	horror	0.17	horror	1.0
اِنفو	info	0.25	info	0.435
ديرسڈے	thursday	0.25	thursday	1.0
ٹیپ	pinklovetip	0.27	junkbox	0.61
اولاد	ulad	0.25	descendants	0.72
چھونے	choonay	0.29	touching	0.66
کنکشن	connection	0.3	flownet	0.61
راکی	rocky	0.2	catskiing	0.56
بہتے	bataye	0.17	flowing	0.75
نيٹيرال	natural	0.29	natural	1.0
اونر	owner	0.2	owner	0.58
سسر	sara	0.25	nephew	0.62
سوئمنگ	swimmingpool	0.17	swimming	1.0
اکپلوسون	explosion	0.11	explosion	1.0
ہندوستان	nahihar	0.14	india	0.417
ووٹ	vote	0.25	votes	0.89
نئے	naye	0.25	radically	0.59
پوتی	prinda	0.17	granddaughter	1.0
رزلٹ	result	0.17	checkride	0.55
میچ	match	0.2	shutout	0.75
ٹيم	pakistani	0.11	best	0.647
اخبار	akbar	0.2	newspaper	1.0
سمی	student	0.14	nefed	0.46
بوائے	pehleb0y	0.12	retro	0.52
يٹٹورنيي	attorney	0.12	attorney	0.615
ئوننگ	evening	0.14	evening	1.0
زائد	zaidsmart2	0.2	hundreds	0.64
يونيٹڈ	united	0.17	united	0.889
عظمت	dahar	0.2	greatness	0.71
ہدایت	jahe'n	0.17	directed	0.62
ایوننگ	evening	0.29	crhk	0.56
تکسی	taxes	0.2	taxes	1.0
آئیندہ	ainda	0.2	crimes	1.0
ڈھونڈو	dundo	0.2	deduce	0.63
میچز	matches	0.29	preseason	0.67
لکھی	successfully	0.08	written	0.69
اکزسٹ	exist	0.2	exist	1.0
یپ	fever	0.2	fever	1.0
اولین	3avilian	0.12	foremost	0.579
ایگذوربینٹ	love	0.25	love	1.0
دونگا	d0nga	0.2	kedafu	0.51
برائی	bhihaar	0.29	evil	0.75
ٹوجدر	together	0.25	together	0.757
ڈئولوپ	develop	0.29	develop	0.486
ایبل	send	0.25	superlux	0.55
بھیجتے	bajtay	0.17	send	0.69
ایکسٹرا	extra	0.2	extra	0.753
سپیسیلی	song	0.25	song	1.0
آمدید	warna	0.2	welcomer	0.6
ایمان	eman	0.25	sinfulness	0.68
عارف	brothr'sarif	0.17	chap	0.43
مُسلمز	muslims	0.14	muslims	0.597
اتھر	amazing	0.14	devloped	0.51
حائل	childhood	0.22	barrier	0.52
یوزر	user	0.25	cctrl	0.68
مئ	salam	0.2	starmist	0.48
پھیلا	paila	0.2	stretching	0.65
زخمی	zahkme	0.17	injured	1.0
امکان	rahen	0.2	possibility	0.7
ڈکشنری1	dictionary	0.2	dictionary	0.706
ودر	other	0.2	other	1.0
قافلہ	muskurata	0.22	caravan	0.51
اگلے	chup	0.25	befored	0.54
داون	down	0.25	down	1.0
ناردرن	nrthrn	0.17	cfcl	0.49
یونیورسٹی	univrsity	0.11	university	1.0
ابن	daod	0.25	prophet	0.7
وائرس	virus	0.2	influenza	0.73
اڈوانٹاج	advantage	0.22	advantage	1.0
مارنگ	morning	0.29	morning	1.0
ارتھ	jagng	0.2	google	0.666
ہفتے	hame	0.25	week	1.0
فٔو	five	0.25	five	1.0
سئونٹي	seventy	0.29	seventy	1.0
میونسپل	muncipal	0.25	municipal	1.0
ہوگئے	h0gy	0.25	compelled	0.67
ائر	study	0.2	hangar	0.62
انوٹاشن	invitation	0.3	invitation	0.512
حسين	shaher	0.17	isaba	0.49
يونئورسي	universe	0.12	universe	1.0
نٔٹ	night	0.2	night	1.0
اونچا	uncha	0.2	taller	0.6
آکسیجن	oxygen	0.17	oxygen	0.77
نیشنل	intrnational	0.17	national	1.0
سانگ	song	0.25	song	1.0
کیٹس	cats	0.25	fantoms	0.42
لئے	liye	0.25	for	1.0
علاوه	elawa	0.2	besides	0.58
ہینڈ	hand	0.25	drivet	0.55
لیکر	welcm	0.2	shores	1.0
داوسانڈ	thousand	0.12	thousand	1.0
٢٢	sindh22	0.29	22	0.909
ایکو	ecosub	0.17	echo	0.976
آئمہ	aima(a	0.17	believers	0.73
فیشن	fashion	0.29	gone	1.0
جنوب	mashriqmagribshumaljunoob	0.2	southeast	0.79
ن	mumkin	0.17	adjp	0.42
انوسینٹ	salam	0.2	salam	0.279
اِنتڑو	intro	0.2	intro	0.625
ياورسيلف	yourself	0.25	yourself	1.0
ایٹم	atom	0.25	atom	0.68
٩	aswadsapnag9	0.08	dragged	0.754
بدتمیزی	batmeezi	0.12	misbehaving	0.68
اگینسٹ	islam	0.2	islam	0.98
یوزڈ	against	0.29	against	0.922
جہنم	funlandjahanum	0.29	hell	0.66
نائین	ninecutshahzad	0.14	hppo	0.46
پالیسیاں	policyion	0.22	policies	1.0
بلو	chemistryblog	0.25	srbl	0.44
رد	earthridder	0.25	rejection	0.62
اوشن	ocean	0.2	rvsc	0.52
اوراق	oraaq	0.2	copiously	0.58
یونِٹ	unit	0.25	unit	1.0
داود	2davdaas	0.25	david	1.0
میلوں	giletmse	0.25	attracks	0.58
بورڈ	broadcast	0.22	incop	0.52
اوور	loverr	0.17	phillies	0.79
لئیے	liye	0.25	ultra	0.85
چھوڑنے	chodney	0.29	abandoning	0.65
اسپرٹيال	spiritual	0.11	spiritual	0.469
ائی	die4pak	0.14	wife	1.0
دیس	dob08	0.2	tallige	0.51
ہوگے	h0gae	0.2	come	0.61
ووٹي	vote	0.25	vote	1.0
گنبد	hungumbad	0.11	repeat	0.593
بزی	busy	0.25	kufe	0.43
وڈیو	video	0.2	video	0.75
پکچر	picture	0.29	picture	0.568
سئورال	several	0.29	several	0.714
اسپيسال	special	0.29	special	1.0
تل	maintum	0.14	nahala	0.44
ہوبا	sahar	0.2	sahar	0.57
تاجکستان	hindustan	0.22	tajikistan	0.76
چاہ	chaaaaaaaa	0.3	someo	0.45
پیرنٹس	parents	0.29	parents	1.0
حنیفہ	mzhab	0.2	twelvers	0.64
ایکشن	section4	0.25	breakout	0.54
جیسمین	jasmine1	0.25	jasmine's	0.544
رجسٹر	registr	0.14	registrated	0.58
کيرڈ	card	0.25	card	1.0
سودائی	soadayidhoondta	0.27	narian	0.5
عیاں	mein	0.25	charact	0.58
انڈوں	ghonslay	0.12	crotals	0.56
میڈم	madam	0.2	dueted	0.56
سکسٹي	sixty	0.2	sixty	1.0
اکرم	bhoslyaman	0.1	abider	0.54
سٹينگ	setting	0.29	setting	1.0
قدموں	aankhe	0.17	move	0.63
اُن	sunsandil	0.11	requested	0.7
ابھرے	obharay	0.14	emerged	0.7
لیب	udaslab	0.14	ip	0.57
آسم	main	0.25	main	1.0
اونپوچھ	none	0.25	none	1.0
چھپانے	chupanay	0.25	concealing	0.69
سٹارسلام	salam	0.2	salam	0.279
عمارت	faseelen	0.12	building	1.0
مینجر	manager	0.29	capital	1.0
ذانگ	zong	0.25	zong	0.211
گھاس	gusa	0.25	forage	0.7
اجازت	this	0.25	permission	1.0
اجڈ	aged	0.25	aged	1.0
بخشے	bakshay	0.14	unenlightening	0.67
اِسپیک	speak	0.2	speak	1.0
عمال	lana	0.25	underwork	0.57
وائبریشن	follow	0.17	follow	1.0
ایئر	year	0.25	airlines	0.7
اوٹکري	outcry	0.17	outcry	1.0
سشول	school	0.17	school	1.0
ڈیٹا	data	0.25	data	0.62
۱۰۰	k100	0.25	100	1.0
کٔم	come	0.25	come	1.0
کلمہ	kro1)kalma	0.3	wednesday	1.0
ڈیوڈ	davdaas	0.14	dg	0.46
